"expt_date,04/29/2024 19:47"
"subj_name,2"
"sustattn,True"
"changedetect,True"
"seed,1714391248"
"restarting,False"
"env,other"
"save_dir,./../subjects/2/data/beh/"
"debug,False"
"project_dir,./../"

blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset
0,0,11:47:38:303000,6,1,[0 3 1 2 6 7],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,7.4469905,nan,nan,nan
0,1,11:47:39:369000,6,1,[5 0 3 6 4 1],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,8.5033176,nan,nan,nan
0,2,11:47:40:466000,6,0,[2 4 6 8 0 3],0,1.0,0.0,0.381404000014,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,9.58561360001,9.96701760002,nan,nan
0,3,11:47:41:517000,6,1,[4 6 0 5 1 7],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,10.6554046,nan,nan,nan
0,4,11:47:42:572000,6,1,[3 0 2 6 7 4],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,11.7124428,nan,nan,nan
0,5,11:47:43:630000,6,1,[6 7 1 0 8 5],1,1.0,1.0,0.128481799999,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,12.7674378,12.8959196,nan,nan
0,6,11:47:58:366000,6,0,[2 5 8 1 4 6],0,0.0,1.0,0.470473199995,1.0,[ 1.  1.  1.  1.  1.  1.],[ 4.  2.  1.  3.  6.  5.],[ 3.  5.  8.  6.  3.  3.],2.0,[  8.9398054   5.554813    4.105787    6.8101497  11.609913   10.5074927],6.4305743,13.8238378,14.294311,15.8339422,27.4732206
0,7,11:47:59:419000,6,1,[6 4 3 2 5 1],1,1.0,1.0,0.435289700021,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,28.5552568,28.9905465,nan,nan
0,8,11:48:00:488000,6,1,[3 8 6 7 2 5],1,1.0,1.0,0.4225018,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,29.6112453,30.0337471,nan,nan
0,9,11:48:01:539000,6,1,[4 7 5 2 8 0],1,1.0,1.0,0.372685400012,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,30.677619,31.0503044,nan,nan
0,10,11:48:02:592000,6,1,[3 1 7 6 5 4],1,1.0,1.0,0.39363050001,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],6.4305743,31.7328239,32.1264544,nan,nan
