"expt_date,05/07/2024 17:30"
"subj_name,5"
"sustattn,True"
"changedetect,True"
"seed,1715074201"
"restarting,False"
"env,other"
"save_dir,./../subjects/5/data/beh/"
"debug,False"
"project_dir,./../"

blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset
0,0,09:30:09:608000,6,1,[2 7 4 1 3 6],1,1.0,1.0,0.7386617,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,5.1133431,5.8520048,nan,nan
0,1,09:30:10:674000,6,1,[5 8 6 7 0 1],1,1.0,1.0,0.4674657,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,6.1678263,6.635292,nan,nan
0,2,09:30:11:726000,6,0,[0 3 1 6 4 7],0,1.0,0.0,0.2979262,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,7.2218322,7.5197584,nan,nan
0,3,09:30:12:777000,6,1,[6 5 0 4 8 3],1,0.0,0.0,0.0020576,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,8.2772017,8.2792593,nan,nan
0,4,09:30:13:833000,6,1,[8 6 2 7 1 5],1,1.0,1.0,0.4145393,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,9.3314033,9.7459426,nan,nan
0,5,09:30:14:883000,6,1,[5 4 8 6 0 7],1,1.0,1.0,0.4272243,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,10.3861964,10.8134207,nan,nan
0,6,09:30:27:976000,6,0,[0 1 6 5 8 2],0,0.0,1.0,0.3646526,1.0,[ 1.  1.  1.  1.  1.  1.],[ 4.  2.  1.  3.  5.  6.],[ 2.  1.  6.  3.  7.  4.],2.0,[ 6.6389658  3.2570045  1.4343701  5.0254632  8.2925411  9.9886999],4.1025349,11.4409677,11.8056203,13.4518984,23.4679069
0,7,09:30:29:041000,6,1,[6 2 8 7 5 4],1,1.0,1.0,0.5096287,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,24.5364124,25.0460411,nan,nan
0,8,09:30:30:140000,6,1,[7 8 4 1 3 2],1,1.0,1.0,0.3482428,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,25.5930494,25.9412922,nan,nan
0,9,09:30:31:208000,6,1,[8 4 7 6 1 0],1,1.0,1.0,0.3394972,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,26.7010996,27.0405968,nan,nan
0,10,09:30:32:259000,6,1,[7 6 4 1 0 8],1,1.0,1.0,0.321043,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,27.7564637,28.0775067,nan,nan
0,11,09:30:33:313000,6,0,[4 3 8 2 7 1],0,0.0,1.0,0.5029181,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,28.811887,29.3148051,nan,nan
0,12,09:30:34:365000,6,1,[3 6 1 5 4 2],1,1.0,1.0,0.6643694,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,29.8671624,30.5315318,nan,nan
0,13,09:30:35:431000,6,1,[0 1 4 7 3 8],1,1.0,1.0,0.5566553,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,30.9223236,31.4789789,nan,nan
0,14,09:30:36:483000,6,1,[1 8 7 5 2 0],1,1.0,1.0,0.3752906,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,31.9763567,32.3516473,nan,nan
0,15,09:30:37:537000,6,1,[4 6 2 7 5 1],1,1.0,1.0,0.365844,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,33.0302894,33.3961334,nan,nan
0,16,09:30:38:589000,6,1,[5 2 7 3 4 6],1,1.0,1.0,0.3621446,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,34.0847498,34.4468944,nan,nan
0,17,09:30:51:783000,6,0,[1 0 3 5 2 7],0,0.0,1.0,0.4638922,1.0,[ 1.  1.  1.  1.  1.  1.],[ 5.  2.  1.  3.  4.  6.],[ 1.  0.  3.  5.  4.  4.],4.0,[  8.2659309   3.0034256   1.2931089   4.8071121   6.2084564  10.1099421],4.1025349,35.1388202,35.6027124,37.1437488,47.2713417
0,18,09:30:52:852000,6,1,[7 3 2 8 6 0],1,nan,nan,nan,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,48.3445087,nan,nan,nan
0,19,09:30:53:909000,6,1,[0 6 8 7 2 5],1,1.0,1.0,0.7391622,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,49.399238,50.1384002,nan,nan
0,20,09:30:54:960000,6,1,[8 2 1 0 6 4],1,1.0,1.0,0.4076455,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,50.4550734,50.8627189,nan,nan
0,21,09:30:56:025000,6,1,[7 4 0 5 3 6],1,1.0,1.0,0.3316924,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,51.5165762,51.8482686,nan,nan
0,22,09:30:57:077000,6,0,[1 5 8 6 4 7],0,1.0,0.0,0.355638,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,52.5728743,52.9285123,nan,nan
0,23,09:30:58:131000,6,1,[0 6 4 5 2 1],1,0.0,0.0,0.00135260000002,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,53.6276471,53.6289997,nan,nan
0,24,09:30:59:184000,6,1,[3 0 1 4 5 8],1,1.0,1.0,0.000615900000014,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,54.6824877,54.6831036,nan,nan
0,25,09:31:00:239000,6,1,[4 6 2 5 3 1],1,1.0,1.0,0.3680768,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,55.7380166,56.1060934,nan,nan
0,26,09:31:12:450000,6,0,[7 8 0 6 2 5],0,0.0,1.0,0.4663868,1.0,[ 1.  1.  1.  1.  1.  1.],[ 4.  2.  1.  3.  5.  6.],[ 7.  8.  0.  6.  4.  3.],4.0,[ 6.7075922  3.1848702  1.4991125  4.7030621  8.4198935  9.0938572],4.1025349,56.7951131,57.2614999,58.793449,67.9099895
0,27,09:31:13:518000,6,1,[1 0 6 2 3 7],1,1.0,1.0,0.9274307,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,69.0011264,69.9285571,nan,nan
0,28,09:31:14:571000,6,1,[6 1 2 5 7 4],1,1.0,1.0,0.391822,0.0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0.0,[ nan  nan  nan  nan  nan  nan],4.1025349,70.0717823,70.4636043,nan,nan
